,id,budget,genres,imdb_id,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,production_companies_number,production_countries_number,spoken_languages_number,Unnamed: 0,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime
3,24,30000000,Action|Crime,tt0266697,en,Kill Bill: Vol. 1,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",7.891837,Miramax Films,United States of America,2003.0,180949000,111.0,English,Released,Go for the kill.,Kill Bill: Vol. 1,7.7,4486,3,1,3,3567,3568,Kill Bill: Vol. 1,2003,18+,8.1,85%,0,1,0,0,0,Quentin Tarantino,"Action,Crime,Thriller","United States,Japan","English,Japanese,French",111.0
15,149,8000000,Science Fiction|Animation,tt0094625,ja,アキラ,"Childhood friends Tetsuo and Kaneda are pulled into the post-apocalyptic underworld of Neo-Tokyo and forced to fight for their very survival. Kaneda is a bike gang leader, and Tetsuo is a member of a tough motorcycle crew who becomes involved in a covert government project called Akira. But a bloody battle ensues when Kaneda sets out to save his friend.",3.948194,Bandai Visual Company,Japan,1988.0,553171,124.0,日本語,Released,Neo-Tokyo is about to E.X.P.L.O.D.E.,Akira,7.8,710,8,1,1,3573,3574,Akira,1988,18+,8.0,90%,0,1,0,0,0,Katsuhiro Ôtomo,"Animation,Drama,Sci-Fi,Thriller",Japan,Japanese,124.0
16,152,35000000,Science Fiction|Adventure|Mystery,tt0079945,en,Star Trek: The Motion Picture,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",2.68462,Paramount Pictures,United States of America,1979.0,139000000,132.0,English,Released,The human adventure is just beginning.,Star Trek: The Motion Picture,6.2,506,1,1,1,3805,3806,Star Trek: The Motion Picture,1979,7+,6.4,42%,0,1,1,0,0,Robert Wise,"Adventure,Mystery,Sci-Fi",United States,"English,Klingon",132.0
17,154,12000000,Action|Adventure|Science Fiction|Thriller,tt0084726,en,Star Trek II: The Wrath of Khan,Admiral James T. Kirk is feeling old; the prospect of accompanying his old ship the Enterprise on a two week cadet cruise is not making him feel any younger. But the training cruise becomes a a life or death struggle when Khan escapes from years of exile and captures the power of creation itself.,1.26762,Paramount Pictures,United States of America,1982.0,96800000,113.0,English,Released,At the end of the universe lies the beginning of vengeance.,Star Trek II: The Wrath of Khan,7.3,646,1,1,1,3589,3590,Star Trek II: The Wrath of Khan,1982,7+,7.7,87%,0,1,1,0,0,Nicholas Meyer,"Action,Adventure,Sci-Fi",United States,English,113.0
18,155,185000000,Drama|Action|Crime|Thriller,tt0468569,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",14.074094,DC Comics,United Kingdom,2008.0,1004558444,152.0,English,Released,Why So Serious?,The Dark Knight,8.2,11168,5,2,2,3560,3561,The Dark Knight,2008,13+,9.0,94%,0,1,0,0,0,Christopher Nolan,"Action,Crime,Drama,Thriller","United States,United Kingdom","English,Mandarin",152.0
19,157,18000000,Science Fiction|Action|Adventure|Thriller,tt0088170,en,Star Trek III: The Search for Spock,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.,1.676744,Paramount Pictures,United States of America,1984.0,87000000,105.0,English,Released,A dying planet. A fight for life.,Star Trek III: The Search for Spock,6.4,416,1,1,2,3686,3687,Star Trek III: The Search for Spock,1984,7+,6.7,80%,0,1,1,0,0,Leonard Nimoy,"Action,Adventure,Sci-Fi",United States,"English,Klingon,Russian,French",105.0
21,172,30000000,Science Fiction|Action|Adventure|Thriller,tt0098382,en,Star Trek V: The Final Frontier,Capt. Kirk and his crew must deal with Mr. Spock's half brother who kidnaps three diplomats and hijacks the Enterprise in his obsessive search for God.,2.848299,Paramount Pictures,United States of America,1989.0,70200000,107.0,English,Released,Adventure and imagination will meet at the final frontier.,Star Trek V: The Final Frontier,5.6,360,1,1,1,4002,4003,Star Trek V: The Final Frontier,1989,7+,5.5,22%,0,1,1,0,0,William Shatner,"Action,Adventure,Fantasy,Sci-Fi,Thriller",United States,"English,Klingon",107.0
22,174,27000000,Science Fiction|Action|Adventure|Thriller,tt0102975,en,Star Trek VI: The Undiscovered Country,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",1.068063,Paramount Pictures,United States of America,1991.0,96900000,113.0,English,Released,The battle for peace has begun.,Star Trek VI: The Undiscovered Country,6.7,397,1,1,1,3628,3629,Star Trek VI: The Undiscovered Country,1991,7+,7.2,82%,0,1,1,0,0,Nicholas Meyer,"Action,Adventure,Sci-Fi,Thriller",United States,"English,Klingon",110.0
26,200,70000000,Science Fiction|Action|Adventure|Thriller,tt0120844,en,Star Trek: Insurrection,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",1.752529,Paramount Pictures,United States of America,1998.0,118000000,103.0,English,Released,The battle for paradise has begun.,Star Trek: Insurrection,6.3,375,1,1,1,3783,3784,Star Trek: Insurrection,1998,7+,6.4,55%,0,1,1,0,0,Jonathan Frakes,"Action,Adventure,Sci-Fi,Thriller",United States,English,103.0
28,219,12899867,Comedy|Drama|Romance,tt0441909,es,Volver,"Raimunda (Penélope Cruz) works and lives Madrid with her husband Paco and daughter Paula. Her sister Sole (Lola Dueñas) lives nearby and they both miss their mother Irene (Carmen Maura), who died several years ago in a house fire along with their father. A former neighbor from their hometown reports that she has seen the ghost of Irene and both daughters do not believe her. After a murder and a family tragedy, Irene's spirit materializes around her daughters to help comfort them.",2.612328,El Deseo,Spain,2006.0,85582407,121.0,Español,Released,Return.,Volver,7.3,373,1,1,1,3605,3606,Volver,2006,18+,7.6,91%,0,1,0,0,0,Pedro Almodóvar,"Comedy,Drama",Spain,Spanish,121.0
31,241,34000000,Crime|Thriller|Drama,tt0110632,en,Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,3.201718,Regency Enterprises,United States of America,1994.0,50282766,119.0,English,Released,The Media Made Them Superstars.,Natural Born Killers,6.9,849,6,1,3,3640,3641,Natural Born Killers,1994,18+,7.3,47%,0,1,0,0,0,Oliver Stone,"Action,Crime,Drama",United States,"English,Navajo,Japanese",118.0
33,272,150000000,Action|Crime|Drama,tt0372784,en,Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",9.809437,DC Comics,United Kingdom,2005.0,374218673,140.0,English,Released,Evil fears the knight.,Batman Begins,7.5,6814,6,2,3,3565,3566,Batman Begins,2005,13+,8.2,84%,0,1,0,0,0,Christopher Nolan,"Action,Adventure","United States,United Kingdom","English,Mandarin",140.0
44,393,30000000,Action|Crime|Thriller,tt0378194,en,Kill Bill: Vol. 2,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",6.573441,Miramax Films,United States of America,2004.0,152159461,136.0,English,Released,The bride is back for the final cut.,Kill Bill: Vol. 2,7.6,3590,3,1,4,3570,3571,Kill Bill: Vol. 2,2004,18+,8.0,84%,0,1,0,0,0,Quentin Tarantino,"Action,Crime,Thriller",United States,"English,Cantonese,Mandarin,Spanish",137.0
53,455,3500159,Comedy|Drama|Romance,tt0286499,en,Bend It Like Beckham,"Jess Bhamra, the daughter of a strict Indian couple in London, is not permitted to play organized soccer, even though she is 18. When Jess is playing for fun one day, her impressive skills are seen by Jules Paxton, who then convinces Jess to play for her semi-pro team. Jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, Joe.",2.425541,Fox Searchlight Pictures,India,2002.0,76578641,112.0,English,Released,"Sometimes, to follow your dreams... you've got to bend the rules!",Bend It Like Beckham,6.2,534,4,4,2,3655,3656,Bend It Like Beckham,2002,13+,6.6,85%,0,1,0,0,0,Gurinder Chadha,"Comedy,Drama,Romance,Sport","United Kingdom,Germany,United States","English,Punjabi,Hindi,German",112.0
56,489,10000000,Drama,tt0119217,en,Good Will Hunting,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.",5.439261,Miramax Films,Canada,1997.0,225933435,126.0,English,Released,"Some people can never believe in themselves, until someone believes in them.",Good Will Hunting,7.8,2564,3,2,1,3563,3564,Good Will Hunting,1997,18+,8.3,97%,0,1,0,0,0,Gus Van Sant,"Drama,Romance",United States,English,126.0
57,497,60000000,Fantasy|Drama|Crime,tt0120689,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",7.045011,Castle Rock Entertainment,United States of America,1999.0,284600000,189.0,Français,Released,Miracles do happen.,The Green Mile,8.2,3650,3,1,2,3564,3565,The Green Mile,1999,18+,8.6,78%,0,1,0,0,0,Frank Darabont,"Crime,Drama,Fantasy,Mystery",United States,"English,French",189.0
84,769,25000000,Drama|Crime,tt0099685,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",7.243304,Winkler Films,United States of America,1990.0,46836394,145.0,Italiano,Released,Three Decades of Life in the Mafia.,GoodFellas,8.2,2881,1,1,2,3561,3562,GoodFellas,1990,18+,8.7,96%,0,1,0,0,0,Martin Scorsese,"Biography,Crime,Drama",United States,"English,Italian",146.0
116,1255,11000000,Horror|Drama|Science Fiction,tt0468492,ko,괴물,"Gang-du is a dim-witted man working at his father's tiny snack bar near the Han River. One day, Gang-du's one and only daughter Hyun-seo comes back from school irritated. She is angry at her uncle, Nam-il, who visited her school as her guardian shamelessly drunk. Ignoring her father's excuses for Nam-il, Hyun-seo is soon engrossed in her aunt Nam-joo's archery tournament on TV. Meanwhile, outside of the snack bar, people are fascinated by an unidentified object hanging onto a bridge. In an instant, the object reveals itself as a terrifying creature turning the riverbank into a gruesome sea of blood¡¦ Amid the chaos, Hyun-seo is helplessly snatched up by the creature right before Gang-du's eyes. These unforeseen circumstances render the government powerless to act. But receiving a call of help from Hyun-seo, the once-ordinary citizen Gang-du and his family are thrust into a battle with the monster to rescue their beloved Hyun-seo.",2.424614,Cineclick Asia,South Korea,2006.0,88489643,119.0,한국어/조선말,Released,Monsters are real.,The Host,6.8,497,4,1,1,3604,3605,The Host,2006,18+,7.1,93%,0,1,0,0,0,Bong Joon Ho,"Action,Drama,Horror,Sci-Fi",South Korea,"Korean,English",120.0
117,1259,15000000,Drama|Romance,tt0465551,en,Notes on a Scandal,"A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her 15-year-old students. However, her intentions with this new ""friend"" also go well beyond platonic friendship.",1.031451,Fox Searchlight Pictures,United Kingdom,2006.0,49469904,92.0,English,Released,One woman's secret is another woman's power. One woman's fear is another woman's weapon. One woman's life is in another woman's hands....,Notes on a Scandal,6.9,220,6,1,2,3627,3628,Notes on a Scandal,2006,18+,7.4,87%,0,1,0,0,0,Richard Eyre,"Crime,Drama,Romance,Thriller",United Kingdom,"English,French",92.0
136,1634,20000000,Family|Adventure,tt0106965,en,Free Willy,"When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them.",1.493076,Canal Plus,France,1993.0,153698625,112.0,English,Released,How far would you go for a friend?,Free Willy,6.0,387,5,2,1,3792,3793,Free Willy,1993,7+,6.0,58%,0,1,0,0,0,Simon Wincer,"Adventure,Drama,Family","United States,France,Mexico",English,112.0
139,1700,20000000,Drama|Thriller,tt0100157,en,Misery,"Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes, the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also somewhat unstable, and Paul finds himself crippled, drugged and at her mercy.",2.764129,Columbia Pictures,United States of America,1990.0,61276872,107.0,English,Released,"Paul Sheldon used to write for a living. Now, he's writing to stay alive.",Misery,7.6,937,3,1,1,3578,3579,Misery,1990,18+,7.8,90%,0,1,0,0,0,Rob Reiner,"Drama,Thriller",United States,English,107.0
144,1776,0,Documentary,tt0486358,en,Jesus Camp,"A growing number of Evangelical Christians believe there is a revival underway in America that requires Christian youth to assume leadership roles in advocating the causes of their religious movement. Jesus Camp follows children at a Christian summer camp as they hone their ""prophetic gifts"" and are schooled in how to ""take back America for Christ."" The film is a first-ever look into an intense training ground that recruits born-again Christian children to become an active part of America's political future.",0.455851,none,United States of America,2006.0,0,87.0,English,Released,America is being born again.,Jesus Camp,6.6,104,0,1,1,3667,3668,Jesus Camp,2006,13+,7.4,87%,0,1,0,0,0,"Heidi Ewing,Rachel Grady",Documentary,United States,English,84.0
147,1817,13000000,Thriller|Drama,tt0183649,en,Phone Booth,"A slick New York publicist who picks up a ringing receiver in a phone booth is told that if he hangs up, he'll be killed... and the little red light from a laser rifle sight is proof that the caller isn't kidding.",2.969809,Fox 2000 Pictures,United States of America,2002.0,97837138,81.0,English,Released,No options. No lies. No fear. No deals. Just keep talking.,Phone Booth,6.7,959,1,1,2,3645,3646,Phone Booth,2002,18+,7.0,72%,0,1,0,0,0,Joel Schumacher,"Crime,Thriller",United States,"English,Swahili",81.0
148,1845,0,Comedy|Romance,tt0841044,en,2 Days in Paris,"Adam Goldberg delivers ""an uproarious study in transatlantic culture panic"" as Jack, an anxious, hypochondriac-prone New Yorker vacationing throughout Europe with his breezy, free-spirited Parisian girlfriend, Marion. But when they make a two-day stop in Marion's hometown, the couple's romantic trip takes a turn as Jack is exposed to Marion's sexually perverse and emotionally unstable family.",1.013296,3L Filmproduktion GmbH,France,2007.0,19776159,96.0,English,Released,"He knew Paris was for lovers, he just didn't think they were all hers.",2 Days in Paris,6.3,94,4,2,3,3716,3717,2 Days in Paris,2007,18+,6.8,87%,0,1,1,0,0,Julie Delpy,"Comedy,Drama,Romance","France,Germany","English,French",96.0
158,1951,14200000,Drama,tt0342735,da,Manderlay,"In 1933, after leaving Dogville, Grace Margaret Mulligan sees a slave being punished at a cotton farm called Manderlay. Officially slavery is illegal and Grace stands up against the owners of the farm. She stays with some gangsters in Manderlay and tries to influence the situation. But when harvest time comes Grace sees the social and economic reality of Manderlay.",1.269782,Zentropa Entertainments,Denmark,2005.0,674918,139.0,English,Released,Liberation. Whether They Want It Or Not.,Manderlay,7.0,73,21,7,1,3789,3790,Manderlay,2005,,7.3,50%,0,1,0,0,0,Lars von Trier,Drama,"Denmark,Sweden,Netherlands,France,Germany,United Kingdom,Italy,United States",English,139.0
159,1990,0,Mystery|Crime|Drama,tt0842929,en,Paranoid Park,"The teenager and skateboarder Alex is interviewed by Detective Richard Lu that is investigating the death of a security guard in the rail yards severed by a train who was apparently hit by a skate board. While dealing with the separation process of his parents and the sexual heat of his virgin girlfriend Jennifer, Alex writes his last experiences in Paranoid Park with his new acquaintances and how the guard was killed, trying to relieve his feeling of guilty from his conscience.",0.787176,Centre National de la Cinématographie,France,2007.0,486021,85.0,English,Released,Could you hide a deadly secret?,Paranoid Park,6.2,119,3,2,1,3773,3774,Paranoid Park,2007,18+,6.7,76%,0,1,0,0,0,Gus Van Sant,"Crime,Drama,Mystery","France,United States",English,85.0
162,2024,110000000,Drama|History|War|Action,tt0187393,en,The Patriot,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",3.403287,Centropolis Entertainment,Germany,2000.0,215294342,165.0,English,Released,Some things are worth fighting for.,The Patriot,6.8,1028,4,2,1,146,147,The Patriot,2000,18+,7.2,61%,1,1,0,0,0,Roland Emmerich,"Action,Drama,History,War","United States,Germany","English,French",165.0
190,2517,0,Drama,tt0408664,ja,誰も知らない,"In Tokyo, the reckless single mother Keiko moves to a small apartment with her twelve years old son Akira Fukushima and hidden in the luggage, his siblings Kyoko, Shigeru and Yuki. The children have different fathers and do not have schooling, but they have a happy life with their mother. When Keiko finds a new boyfriend, she leaves the children alone, giving some money to Akira and assigning him to take care of his siblings. When the money finishes, Akira manages to find means to survive with the youngsters without power supply, gas or water at home, and with the landlord asking for the rental.",0.348336,Bandai Visual Company (JAPAN),Japan,2004.0,0,141.0,日本語,Released,,Nobody Knows,7.7,81,4,1,1,3618,3619,Nobody Knows,2004,13+,8.1,93%,0,1,0,0,0,Hirokazu Koreeda,Drama,Japan,Japanese,141.0
208,3033,10000000,Drama,tt0120684,en,Gods and Monsters,"It's 1957, and Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",1.157552,Lions Gate Films,United Kingdom,1998.0,6451628,105.0,English,Released,,Gods and Monsters,6.7,71,3,2,2,3646,3647,Gods and Monsters,1998,18+,7.4,95%,0,1,0,0,0,Bill Condon,"Biography,Drama","United States,United Kingdom","English,Hungarian",105.0
273,5680,0,Fantasy|Horror|Comedy|Science Fiction,tt0095088,en,"Elvira, Mistress of the Dark",When her great aunt dies famed horror hostess Elvira heads for the uptight new England town to Falwell to claim her inheritance of a haunted house a witches cookbook and a punk rock poodle. But once the stuffy locals get an eyeful of the scream queens ample assets all hell busts out &amp; breaks loose.,0.325844,New World Pictures,United States of America,1988.0,5596267,96.0,English,Released,Elvira makes her big screen debut in her new comedy.,"Elvira, Mistress of the Dark",6.2,80,2,1,1,3843,3844,"Elvira, Mistress of the Dark",1988,13+,6.6,47%,0,1,1,0,0,,Talk-Show,,,
282,6073,57000000,Action|Comedy|Crime|Romance,tt0236493,en,The Mexican,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border.",1.96556,DreamWorks SKG,Mexico,2001.0,147845033,123.0,English,Released,Love with the safety off.,The Mexican,5.8,406,4,2,2,3823,3824,The Mexican,2001,18+,6.1,54%,0,1,0,0,0,Gore Verbinski,"Adventure,Comedy,Crime,Romance","United States,Mexico","English,Spanish",123.0
319,7443,45000000,Animation|Comedy|Family,tt0120630,en,Chicken Run,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Rocky the american rooster and Ginger the chicken decide to rebel against the evil Mr. and Mrs. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom.",3.376848,DreamWorks SKG,United Kingdom,2000.0,224834564,84.0,English,Released,This ain't no chick flick. It's poultry in motion.,Chicken Run,6.5,1026,4,1,1,3620,3621,Chicken Run,2000,all,7.0,97%,0,1,0,0,0,"Peter Lord,Nick Park","Animation,Adventure,Comedy,Drama,Family","United Kingdom,United States,France",English,84.0
333,8067,12000000,Fantasy|Drama|Comedy|Thriller|Science Fiction|Romance,tt0119535,en,A Life Less Ordinary,"A couple of angels, O'Reilly and Jackson, are sent to Earth to make sure that their next supervised love-connection succeeds. They follow Celine, a spoiled rich girl who has just accidentally shot a suitor and, due to a misunderstanding, is kidnapped by janitor Robert. Although Celine quickly frees herself, she stays with Robert for thrills. O'Reilly and Jackson pursue, hoping to unite the prospective lovers.",0.79412,Channel Four Films,United Kingdom,1997.0,0,103.0,English,Released,A comedy for anyone who's ever been in danger...of falling in love.,A Life Less Ordinary,6.2,121,3,2,1,3893,3894,A Life Less Ordinary,1997,18+,6.4,39%,0,1,0,0,0,Danny Boyle,"Comedy,Crime,Fantasy,Romance","United Kingdom,United States",English,103.0
336,8202,62000000,Action|Science Fiction,tt0402022,en,Æon Flux,"400 years into the future, disease has wiped out the majority of the world's population, except one walled city, Bregna, ruled by a congress of scientists. When Æon Flux, the top operative in the underground 'Monican' rebellion, is sent on a mission to kill a government leader, she uncovers a world of secrets.",3.843884,Paramount Pictures,United States of America,2005.0,52304001,93.0,English,Released,The Perfect World Meets The Perfect Assassin,Æon Flux,5.4,660,6,1,1,3967,3968,Æon Flux,2005,13+,5.4,9%,0,1,0,0,0,Karyn Kusama,"Action,Adventure,Sci-Fi,Thriller","United States,Germany,Brazil,Italy",English,93.0
340,8289,0,Thriller|Crime|Drama,tt0085615,en,Gorky Park,"Police Inspector Renko tries to solve the case of three bodies found in Moscow's Gorky Park but finds his attempts to solve the crime impeded by his superiors. Working on his own, Renko seeks out more information and stumbles across a conspiracy involving the highest levels of the government.",1.0625,Orion Pictures,United States of America,1983.0,16175602,128.0,English,Released,Murder In Moscow,Gorky Park,6.4,58,2,1,1,3787,3788,Gorky Park,1983,18+,6.8,75%,0,1,1,0,0,Michael Apted,"Crime,Drama,Mystery,Thriller",United States,English,128.0
343,8340,0,Drama,tt0424227,fa,Lakposhthâ ham parvaz mikonand,Turtles can fly tells the story of a group of young children near the Turkey-Iran border. They clean up mines and wait for the Saddam regime to fall.,0.275284,Bac Films,France,2005.0,0,98.0,,Released,,Turtles Can Fly,7.2,48,2,3,1,3648,3649,Turtles Can Fly,2005,13+,8.1,88%,0,1,0,0,0,Bahman Ghobadi,"Drama,War","Iran,France,Iraq","Kurdish,Arabic,English",98.0
353,8488,70000000,Comedy|Drama|Romance,tt0386588,en,Hitch,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.",2.44074,Columbia Pictures Corporation,United States of America,2005.0,368100420,118.0,English,Released,The cure for the common man.,Hitch,6.3,1527,2,1,1,214,215,Hitch,2005,13+,6.6,68%,1,1,0,0,0,Andy Tennant,"Comedy,Romance",United States,English,118.0
